0.000000	0.047124	0.000000
#0.500000	0.015708	0.000006
1.000000	0.031416	0.005027
#1.500000	0.267035	0.051266
2.000000	0.376991	0.172777
#2.500000	0.581195	0.370595
3.000000	0.832522	0.631390
#3.500000	1.146681	0.940699
4.000000	1.476549	1.286723
#4.500000	1.853540	1.660604
5.000000	2.246239	2.055851
#5.500000	2.670354	2.467710
6.000000	3.094469	2.892668
#6.500000	3.518584	3.328099
7.000000	3.942699	3.772013
#7.500000	4.382522	4.222880
8.000000	4.806637	4.679509
#8.500000	5.246460	5.140960
9.000000	5.654867	5.606484
#9.500000	6.078982	6.075477
10.000000	6.487389	6.547448
